iter	MultiClass
0	6.477286502
1	6.457694596
2	6.436148796
3	6.41702042
4	6.399599673
5	6.378775441
6	6.354762622
7	6.332969516
8	6.313345697
9	6.293754148
10	6.273419872
11	6.250670723
12	6.231577479
13	6.207350868
14	6.186828605
15	6.16865802
16	6.149017429
17	6.129766648
18	6.111745037
19	6.092058769
20	6.072576235
21	6.053559416
22	6.034506872
23	6.014541546
24	5.995380863
25	5.977136589
26	5.95780293
27	5.939383259
28	5.924155577
29	5.906473161
30	5.887455844
31	5.870438238
32	5.850389243
33	5.834295959
34	5.816579923
35	5.800174508
36	5.782277515
37	5.765128497
38	5.748838145
39	5.731599872
40	5.713864562
41	5.69798459
42	5.681987196
43	5.666361766
44	5.651222636
45	5.634758798
46	5.618258429
47	5.600797278
48	5.583999412
49	5.566308975
