iter	Passed	Remaining
0	6410	314095
1	13441	322590
2	18913	296307
3	23916	275041
4	29357	264213
5	33765	247617
6	37666	231382
7	41758	219230
8	46730	212881
9	52138	208554
10	57434	203632
11	62417	197654
12	68037	193643
13	72713	186977
14	77792	181514
15	83516	177472
16	88633	172053
17	94460	167929
18	100118	163350
19	105360	158040
20	110415	152478
21	116217	147913
22	121460	142583
23	126111	136621
24	131404	131404
25	135717	125277
26	140518	119700
27	144930	113874
28	149084	107957
29	154714	103142
30	158967	97431
31	165294	92978
32	169521	87329
33	174009	81886
34	178069	76315
35	183010	71170
36	187741	65963
37	192093	60660
38	197113	55596
39	202327	50581
40	207497	45548
41	212312	40440
42	217226	35362
43	222243	30305
44	227084	25231
45	231694	20147
46	236765	15112
47	242196	10091
48	247656	5054
49	251947	0
